file_id,rf
j_1000120,4
j_1000547,4
j_1000648,4
j_1001043,4
j_1001176,4
j_1001534,4
j_1002664,4
j_100274,4
j_1003113,4
j_1003574,4
j_100362,4
j_1004179,4
j_1005091,4
j_1005168,4
j_1006420,4
j_1007136,4
j_1007213,4
j_1007279,4
j_1007945,4
j_100829,4
j_1008369,4
j_1008465,4
j_1008499,4
j_1008567,4
j_1008775,4
j_1009129,4
j_1009177,4
j_1009386,4
j_101249,4
j_1013886,4
j_1014046,4
j_1015455,4
j_1015810,4
j_1016544,4
j_1016641,4
j_1017262,4
j_1017660,4
j_1017976,4
j_101846,4
j_1019009,4
j_1019446,4
j_1019878,4
j_1020035,4
j_1021393,4
j_102158,4
j_1021674,4
j_10217,4
j_1021843,4
j_1022145,4
j_1023267,4
j_1025020,4
j_1025196,4
j_1025292,4
j_1025527,4
j_1025553,4
j_1025740,4
j_1026284,4
j_1026573,4
j_1027028,4
j_1027127,4
j_1027631,4
j_102770,4
j_1028214,4
j_1028320,4
j_1028896,4
j_1029493,4
j_1029601,4
j_1029850,4
j_1030498,4
j_1030824,4
j_1031036,4
j_1031050,4
j_1031677,4
j_1032530,4
j_1032539,4
j_1032563,4
j_103271,4
j_1033574,4
j_1034304,4
j_1034609,4
j_1034741,4
j_1034762,4
j_1035223,4
j_1035635,4
j_1036141,4
j_1036484,4
j_1036857,4
j_1037197,4
j_1037573,4
j_1037786,4
j_1037793,4
j_1038071,4
j_1038200,4
j_1038964,4
j_1039033,4
j_1039569,4
j_1039576,4
j_1039717,4
j_1039939,4
j_1040175,4
j_1041534,4
j_1042321,4
j_1042562,4
j_104290,4
j_1043087,4
j_1043097,4
j_1043324,4
j_1043371,4
j_1043864,4
j_1044941,4
j_1046015,4
j_1046131,4
j_1046263,4
j_1046338,4
j_1046421,4
j_1046654,4
j_1046864,4
j_1046956,4
j_1047127,4
j_1047174,4
j_1047798,4
j_1048338,4
j_1048372,4
j_1048885,4
j_1049263,4
j_1050140,4
j_1050842,4
j_1051383,4
j_1051884,4
j_1053195,4
j_1053321,4
j_1053413,4
j_1053443,4
j_1053571,4
j_1053684,4
j_1053765,4
j_1054193,4
j_1055159,4
j_1055217,4
j_1055787,4
j_1056336,4
j_1057367,4
j_1057676,4
j_1057940,4
j_1058259,4
j_1058343,4
j_1058548,4
j_1058646,4
j_1059360,4
j_1059509,4
j_1060389,4
j_1060403,4
j_1061845,4
j_106202,4
j_1062192,4
j_1062604,4
j_1062766,4
j_1063464,4
j_1063542,4
j_1064444,4
j_106477,4
j_1065959,4
j_1065974,4
j_1066299,4
j_1066415,4
j_1066689,4
j_10668,4
j_1066824,4
j_1067358,4
j_106776,4
j_1068127,4
j_1068707,4
j_1068848,4
j_1069200,4
j_1069308,4
j_1069752,4
j_1071285,4
j_1072087,4
j_107212,4
j_107222,4
j_1072289,4
j_1072648,4
j_107360,4
j_1073687,4
j_1074833,4
j_1075478,4
j_107678,4
j_1077272,4
j_1077468,4
j_1077939,4
j_1078123,4
j_1078211,4
j_1078248,4
j_1078336,4
j_1078400,4
j_1078958,4
j_1079015,4
j_1079561,4
j_1080356,4
j_1080992,4
j_1081,4
j_1081351,4
j_108138,4
j_108149,4
j_1081666,4
j_1081945,4
j_1081995,4
j_1082727,4
j_1082882,4
j_108338,4
j_1083685,4
j_1083882,4
j_1083956,4
j_1084112,4
j_1084505,4
j_1084797,4
j_1086022,4
j_1086031,4
j_1086273,4
j_1086352,4
j_1086539,4
j_1086939,4
j_108737,4
