file_id,rf
j_1000120,2
j_1000547,2
j_1000648,2
j_1001043,2
j_1001176,2
j_1001534,2
j_1002664,2
j_100274,2
j_1003113,2
j_1003574,2
j_100362,2
j_1004179,2
j_1005091,2
j_1005168,2
j_1006420,2
j_1007136,2
j_1007213,2
j_1007279,2
j_1007945,2
j_100829,2
j_1008369,2
j_1008465,2
j_1008499,2
j_1008567,2
j_1008775,2
j_1009129,2
j_1009177,2
j_1009386,2
j_101249,2
j_1013886,2
j_1014046,2
j_1015455,2
j_1015810,2
j_1016544,2
j_1016641,2
j_1017262,2
j_1017660,2
j_1017976,2
j_101846,2
j_1019009,2
j_1019446,2
j_1019878,2
j_1020035,2
j_1021393,2
j_102158,2
j_1021674,2
j_10217,2
j_1021843,2
j_1022145,2
j_1023267,2
j_1025020,2
j_1025196,2
j_1025292,2
j_1025527,2
j_1025553,2
j_1025740,2
j_1026284,2
j_1026573,2
j_1027028,2
j_1027127,2
j_1027631,2
j_102770,2
j_1028214,2
j_1028320,2
j_1028896,2
j_1029493,2
j_1029601,2
j_1029850,2
j_1030498,2
j_1030824,2
j_1031036,2
j_1031050,2
j_1031677,2
j_1032530,2
j_1032539,2
j_1032563,2
j_103271,2
j_1033574,2
j_1034304,2
j_1034609,2
j_1034741,2
j_1034762,2
j_1035223,2
j_1035635,2
j_1036141,2
j_1036484,2
j_1036857,2
j_1037197,2
j_1037573,2
j_1037786,2
j_1037793,2
j_1038071,2
j_1038200,2
j_1038964,2
j_1039033,2
j_1039569,2
j_1039576,2
j_1039717,2
j_1039939,2
j_1040175,2
j_1041534,2
j_1042321,2
j_1042562,2
j_104290,2
j_1043087,2
j_1043097,2
j_1043324,2
j_1043371,2
j_1043864,2
j_1044941,2
j_1046015,2
j_1046131,2
j_1046263,2
j_1046338,2
j_1046421,2
j_1046654,2
j_1046864,2
j_1046956,2
j_1047127,2
j_1047174,2
j_1047798,2
j_1048338,2
j_1048372,2
j_1048885,2
j_1049263,2
j_1050140,2
j_1050842,2
j_1051383,2
j_1051884,2
j_1053195,2
j_1053321,2
j_1053413,2
j_1053443,2
j_1053571,2
j_1053684,2
j_1053765,2
j_1054193,2
j_1055159,2
j_1055217,2
j_1055787,2
j_1056336,2
j_1057367,2
j_1057676,2
j_1057940,2
j_1058259,2
j_1058343,2
j_1058548,2
j_1058646,2
j_1059360,2
j_1059509,2
j_1060389,2
j_1060403,2
j_1061845,2
j_106202,2
j_1062192,2
j_1062604,2
j_1062766,2
j_1063464,2
j_1063542,2
j_1064444,2
j_106477,2
j_1065959,2
j_1065974,2
j_1066299,2
j_1066415,2
j_1066689,2
j_10668,2
j_1066824,2
j_1067358,2
j_106776,2
j_1068127,2
j_1068707,2
j_1068848,2
j_1069200,2
j_1069308,2
j_1069752,2
j_1071285,2
j_1072087,2
j_107212,2
j_107222,2
j_1072289,2
j_1072648,2
j_107360,2
j_1073687,2
j_1074833,2
j_1075478,2
j_107678,2
j_1077272,2
j_1077468,2
j_1077939,2
j_1078123,2
j_1078211,2
j_1078248,2
j_1078336,2
j_1078400,2
j_1078958,2
j_1079015,2
j_1079561,2
j_1080356,2
j_1080992,2
j_1081,2
j_1081351,2
j_108138,2
j_108149,2
j_1081666,2
j_1081945,2
j_1081995,2
j_1082727,2
j_1082882,2
j_108338,2
j_1083685,2
j_1083882,2
j_1083956,2
j_1084112,2
j_1084505,2
j_1084797,2
j_1086022,2
j_1086031,2
j_1086273,2
j_1086352,2
j_1086539,2
j_1086939,2
j_108737,2
j_1087856,2
j_1088271,2
j_108854,2
j_1089630,2
j_1089730,2
j_1089803,2
j_1090004,2
j_1090191,2
j_1090595,2
j_1090647,2
j_1091316,2
j_1091492,2
j_1091502,2
j_1091614,2
j_1092398,2
j_1092534,2
j_1092773,2
j_109282,2
j_1093149,2
j_1093424,2
j_109530,2
j_1095407,2
j_1095707,2
j_1095741,2
j_1096481,2
j_1096714,2
j_1096808,2
j_1097385,2
j_109769,2
j_1097740,2
j_1098780,2
j_1099774,2
j_1099853,2
j_1101376,2
j_1101566,2
j_1101598,2
j_1101875,2
j_1101905,2
j_1102127,2
j_1102294,2
j_1103452,2
j_1103678,2
j_11039,2
j_1104251,2
j_1104454,2
j_1104681,2
j_1104856,2
j_1105114,2
j_1105332,2
j_1106077,2
j_1106404,2
j_1106452,2
j_1107322,2
j_1107484,2
j_1107751,2
j_110782,2
j_1107909,2
j_1108194,2
j_1108445,2
j_1108815,2
j_1109572,2
j_1110290,2
j_111045,2
j_1111299,2
j_1111588,2
j_1111628,2
j_1111634,2
j_1111874,2
j_1111888,2
j_1111913,2
j_1111944,2
j_1112013,2
j_1112684,2
j_111411,2
j_1114175,2
j_1114558,2
j_111480,2
j_1115320,2
j_1115564,2
j_1116004,2
j_111634,2
j_111635,2
j_1116482,2
j_1116563,2
j_1116577,2
j_1116584,2
j_1117148,2
j_1117294,2
j_1117570,2
j_1117671,2
j_1117770,2
j_1117833,2
j_1117873,2
j_1118201,2
j_1118218,2
j_1118532,2
j_1118643,2
j_1119996,2
j_1120339,2
j_1120387,2
j_112080,2
j_1120801,2
j_11211,2
j_1121605,2
j_1121737,2
j_1121794,2
j_1121847,2
j_1122390,2
j_1123141,2
j_1123511,2
j_1123887,2
j_1123941,2
j_1124175,2
j_1124351,2
j_1124909,2
j_1125277,2
j_1125677,2
j_11258,3
j_1126677,2
j_1126960,2
j_1127355,2
j_1128941,2
j_1129078,2
j_1129235,2
j_1129299,2
j_1129302,2
j_1129479,2
j_1130308,2
j_1130804,2
j_1132671,2
j_1132938,2
j_1133435,2
j_1133471,2
j_1133795,2
j_1133903,2
j_1134101,2
j_1134835,2
j_1135144,2
j_1135252,2
j_1135457,2
j_1135716,2
j_1136215,2
j_1136417,2
j_1136654,2
j_1136692,2
j_1136758,2
j_1136788,2
j_1136816,2
j_113693,2
j_1136951,2
j_1137121,2
j_1137189,2
j_1137373,2
j_1137456,2
j_1138445,2
j_1138925,2
j_1139244,2
j_1139307,2
j_1139367,2
j_1140074,2
j_1140196,2
j_1140594,2
j_1140810,2
j_1140993,2
j_1141508,2
j_1141829,2
j_1142687,2
j_1143605,2
j_1144838,2
j_1144991,2
j_1145143,2
j_1145719,2
j_1146000,2
j_1146030,2
j_1146120,2
j_1146153,2
j_1146514,2
j_1147454,2
j_1147757,2
j_1148025,2
j_1148160,2
j_1148550,2
j_1148610,2
j_1148911,2
j_1149734,2
j_1149892,2
j_1150543,2
j_1150674,2
j_1151428,2
j_1151867,2
j_1151898,2
j_1152473,2
j_1153172,2
j_1153446,2
j_1154229,2
j_1154491,2
j_1154616,2
j_1154703,2
j_1156250,2
j_1156320,2
j_1156358,2
j_1157234,2
j_1157242,2
j_115789,2
j_1158580,2
j_1158641,2
j_1159018,2
j_1159415,2
j_1159680,2
j_1160124,2
j_1160283,2
j_1160294,2
j_1160494,2
j_1162407,2
j_1162628,2
j_1163052,2
j_1163232,2
j_1163444,2
j_1163581,2
j_1163687,2
j_1164391,2
j_1164763,2
j_1165001,2
j_1165141,2
j_1165631,2
j_1165712,2
j_1166593,2
j_1166839,2
j_1167259,2
j_1168881,2
j_1169006,2
j_1169035,2
j_1169119,2
j_1169355,2
j_1169476,2
j_1169599,2
j_1169936,2
j_1171205,2
j_1172681,2
j_1173016,2
j_1173738,2
j_1174247,2
j_1174894,2
j_117656,2
j_1176814,2
j_1177473,2
j_1177843,2
j_1177964,2
j_1178019,2
j_1178724,2
j_1178929,2
j_1179128,2
j_1179583,2
j_1179958,2
j_1181178,2
j_1181216,2
j_118128,2
j_1181875,2
j_1182463,2
j_1183031,2
j_1183127,2
j_1183310,2
j_118393,2
j_1185038,2
j_1185444,2
j_1185950,2
j_1186119,2
j_118767,2
j_1188525,2
j_1189255,2
j_1189566,2
j_1189576,2
j_1189651,2
j_119119,2
j_119123,2
j_1191466,2
j_1191618,2
j_1191977,2
j_119247,2
j_1192557,2
j_1192571,2
j_1193074,2
j_1193370,2
j_1193391,2
j_1193466,2
j_1196689,2
j_119720,2
j_1197286,2
j_1198180,2
j_1198227,2
j_1198254,2
j_1198365,2
j_1198545,2
j_1198560,2
j_1199097,2
j_1199125,2
j_1199213,2
j_1199367,2
j_1199975,2
j_1200502,2
j_1200793,2
j_1200899,2
j_1200988,2
j_1201901,2
j_1201967,2
j_1202183,2
j_1202218,2
j_1202233,2
j_1202344,2
j_12032,2
j_1203656,2
j_1204079,2
j_1204191,2
j_120451,2
j_1204758,2
j_1204761,2
j_1205066,2
j_1205574,2
j_1206280,2
j_1206513,2
j_120671,2
j_1206879,2
j_1207021,2
j_1207370,2
j_120741,2
j_1208283,2
j_1208417,2
j_1209390,2
j_1209427,2
j_1209706,2
j_1210719,2
j_1210969,2
j_1211098,2
j_1211113,2
j_1211223,2
j_1211576,2
j_1212219,2
j_1212254,2
j_1212303,2
j_1212873,2
j_121293,2
j_1213536,2
j_1214157,2
j_1214192,2
j_1214535,2
j_1215436,2
j_1215461,2
j_1215654,2
j_1215682,2
j_121597,2
j_1216324,2
j_1216410,2
j_1217552,2
j_1217682,2
j_1217722,2
j_1217780,3
j_1217845,2
j_1218138,2
j_1218217,2
j_1218254,2
j_1219707,2
j_1220196,2
j_1220233,2
j_1220965,2
j_1221132,2
j_1221306,2
j_1221706,2
j_1221827,2
j_1221868,2
j_1221947,2
j_1222103,2
j_1222724,2
j_1222796,2
j_1223050,2
j_1223292,2
j_1223498,2
j_1224169,2
j_1224270,2
j_1224478,2
j_122476,2
j_1225316,2
j_1225413,2
j_1226544,2
j_1227084,2
j_1228308,2
j_1228430,2
j_1228752,2
j_122900,2
j_1229190,2
j_1229388,2
j_1229405,2
j_1229800,2
j_1231690,2
j_1231798,2
j_1232250,2
j_1232650,2
j_1232687,2
j_12331,2
j_1233241,2
j_1233390,2
j_1233708,2
j_1234209,2
j_1235270,2
j_1235596,2
j_1236160,2
j_1236426,2
j_1236687,2
j_1236720,2
j_1237098,2
j_1237611,2
j_1237814,2
j_1237867,2
j_1238710,2
j_1239135,2
j_1240228,2
j_1240758,2
j_124082,2
j_1240889,2
j_1241285,2
j_1241454,2
j_1241856,2
j_1242251,2
j_1242836,2
j_1243094,2
j_1243252,2
j_1243669,2
j_1243705,2
j_1243756,2
j_1244062,2
j_1244213,2
j_1244473,2
j_124500,2
j_124502,2
j_1245027,2
j_1245502,2
j_1245541,2
j_1246197,2
j_1246649,2
j_1247116,2
j_1247272,2
j_1247340,2
j_1247593,2
j_1248008,2
j_1248194,2
j_1248235,2
j_1248617,2
j_1249107,2
j_1249194,2
j_124953,2
j_1249798,2
j_1250257,2
j_1250402,2
j_1250452,2
j_12508,2
j_1251610,2
j_1251648,2
j_1252068,2
j_125215,2
j_1253101,2
j_1253481,2
j_1253495,2
j_1253805,2
j_1253820,2
j_1253984,2
j_1254183,2
j_1254960,2
j_1256541,2
j_1256718,2
j_1257103,2
j_1257668,2
j_1257761,2
j_1257961,2
j_1258398,2
j_1258972,2
j_1258973,2
j_1259016,2
j_1259416,2
j_1260037,2
j_126028,2
j_126059,2
j_1260707,2
j_1260760,2
j_1261087,2
j_1262560,2
j_126272,2
j_1263343,2
j_1263897,2
j_1264766,2
j_1264843,2
j_1264908,2
j_1265194,2
j_1266612,2
j_1266849,2
j_126708,2
j_1267240,2
j_1268368,2
j_1268515,2
j_126888,2
j_1269136,2
j_1269556,2
j_1270064,2
j_1270149,2
j_1270175,2
j_1270256,2
j_1270954,2
j_127115,2
j_1271398,2
j_1271751,2
j_1272373,2
j_1273726,2
j_1273919,2
j_1274139,2
j_1274405,2
j_1274744,2
j_127478,2
j_1275142,2
j_1275341,2
j_1276137,2
j_1276945,2
j_1277090,2
j_1277333,2
j_1277416,2
j_1277783,2
j_1277910,2
j_1277968,2
j_1278324,2
j_1278726,2
j_1278875,2
j_127937,2
j_1280813,2
j_1281503,2
j_1281616,2
j_1281859,2
j_1282087,2
j_1282763,2
j_1283156,2
j_1283657,2
j_1283781,2
j_1284170,2
j_1284583,2
j_1285057,2
j_1285080,2
j_1285374,2
j_1285738,2
j_1286555,2
j_1287000,2
j_1287486,2
j_1287590,2
j_1288849,2
j_1289765,2
j_1289790,2
j_1289863,2
j_1290126,2
j_1290197,2
j_1291185,3
j_1292005,2
j_1292050,2
j_1292547,2
j_1292958,2
j_1294526,2
j_1295130,2
j_1295218,2
j_1295324,2
j_1295526,2
j_1295690,2
j_1295721,2
j_1296769,2
j_1296789,2
j_1297488,2
j_12975,2
j_1297675,2
j_1297689,2
j_1298863,2
j_12990,2
j_1299180,2
j_1299503,2
j_130000,2
j_1300171,2
j_1300539,2
j_1301040,2
j_1301188,2
j_1301737,2
j_1301793,2
j_1302115,2
j_1302553,2
j_1302641,2
j_1302950,2
j_1303352,2
j_1303412,2
j_1303718,2
j_1303819,2
j_1304009,2
j_1304285,2
j_1304389,2
j_1304868,2
j_1304994,2
j_1305464,2
j_1305548,2
j_1306448,2
j_1307099,2
j_1307579,2
j_1307809,2
j_1307829,2
