file_id,rf
j_2214822,3
j_27600,3
j_3238937,3
j_3821718,3
j_1640557,3
j_3724806,3
j_1670853,3
j_4136918,3
j_4145196,3
j_3464943,3
j_1848926,3
j_2308818,3
j_1407969,3
j_2081685,3
j_82083,3
j_1667661,3
j_1239135,3
j_1831667,3
j_2132500,3
j_524572,3
j_3813906,3
j_3823087,3
j_2357931,3
j_2988198,3
j_499577,3
j_2293315,3
j_4153651,3
j_532519,3
j_1002664,3
j_1720499,3
j_294314,3
j_46202,3
j_3427039,3
j_3965928,3
j_4085774,3
j_4095870,3
j_3787725,3
j_484277,3
j_1748931,3
j_3789707,3
j_3698370,3
j_2192246,3
j_1159680,3
j_3493195,3
j_3923837,3
j_2249849,3
j_848859,3
j_1535188,3
j_1660843,3
j_939558,3
j_3625422,3
j_907102,3
j_2000094,3
j_596112,3
j_2561360,3
j_1684936,3
j_3929318,3
j_1237867,3
j_2183124,3
j_452339,3
j_1683420,3
j_1350048,3
j_933847,3
j_2767484,3
j_2094778,3
j_605268,3
j_1515319,3
j_376909,3
j_1046654,3
j_1028896,3
j_3558643,3
j_3307803,3
j_4094898,3
j_2565197,3
j_2228327,3
j_1348199,3
j_1199213,3
j_1407542,3
j_1860773,3
j_1787785,3
j_2175934,3
j_1169006,3
j_1134835,3
j_68232,3
j_1886931,3
j_3415425,3
j_650748,3
j_2431104,3
j_281477,3
j_3754544,3
j_3437686,3
j_1796958,3
j_1523799,3
j_3273549,3
j_3996146,3
j_3333063,3
j_3773879,3
j_757666,3
j_4098317,3
j_1766018,3
j_2503970,3
j_3386420,3
j_1748873,3
j_2525740,3
j_4107903,3
j_2924731,3
j_945989,3
j_4166423,3
j_891929,3
j_6150,3
j_2403296,3
j_1918651,3
j_1466556,3
j_2867656,3
j_31493,3
j_3481932,3
j_24117,3
j_1934262,3
j_2773311,3
j_852645,3
j_883919,3
j_2654578,3
j_3763325,3
j_1167259,3
j_2907800,3
j_629010,3
j_3721099,3
j_622900,3
j_1090647,3
j_3653525,3
j_2146269,3
j_1198545,3
j_2995651,3
j_3919177,3
j_2120667,3
j_2991431,3
j_366853,3
j_869060,3
j_2873474,3
j_3112582,3
j_2545568,3
j_3791770,3
j_2984275,3
j_553472,3
j_2763852,3
j_3643597,3
j_3256916,3
j_545604,3
j_3991535,3
j_1003574,3
j_3632375,3
j_1367779,3
j_2389921,3
j_2253530,3
j_4140006,3
j_2188568,3
j_2361497,3
j_1743529,3
j_3384574,3
j_3565647,3
j_2201447,3
j_3005275,3
j_2451795,3
j_1287486,3
j_4199970,3
j_4140039,3
j_1198180,3
j_1786052,3
j_683469,3
j_4063183,3
j_669311,3
j_3268078,3
j_4141815,3
j_165765,3
j_774887,3
j_77769,3
j_166497,3
j_867051,3
j_1681930,3
j_1579915,3
j_4077647,3
j_394789,3
j_2857277,3
j_2914857,3
j_2902061,3
j_2282967,3
j_185015,3
j_690837,3
j_3988415,3
j_3208645,3
j_3612870,3
j_3354872,3
j_4162872,3
j_107212,3
j_1302950,3
j_2382105,3
j_189161,3
j_4139987,3
j_1991808,3
j_3539583,3
j_768548,3
j_472033,3
j_3833498,3
j_330021,3
j_709824,3
j_104290,3
j_4065732,3
j_1484269,3
j_1071285,3
j_1872775,3
j_3880775,3
j_3844078,3
j_3350714,3
j_2705402,3
j_1412150,3
j_778102,3
j_1602697,3
j_4185751,3
j_2357301,3
j_2281749,3
j_651633,3
j_1783549,3
j_1191618,3
j_221480,3
j_3310738,3
j_1354724,3
j_3144598,3
j_2290300,3
j_2774347,3
j_3114856,3
j_3324605,3
j_820786,3
j_1973344,3
j_2153502,3
j_3040830,3
j_621068,3
j_1009129,3
j_1855791,3
j_3082247,3
j_3577789,3
j_3856354,3
j_2691912,3
j_1912026,3
j_775735,3
j_994098,3
j_1967787,3
j_2289542,3
j_3641990,3
j_1246649,3
j_2637372,3
j_2554743,3
j_2909948,3
j_3720699,3
j_1581328,3
j_4170958,3
j_1068848,3
j_2535425,3
j_3023001,3
j_2597161,3
j_1477939,3
j_2830267,3
j_481376,3
j_1959688,3
j_1578587,3
j_1985868,3
j_108737,3
j_333273,3
j_241217,3
j_1057940,3
j_1960305,3
j_2582670,3
j_3796258,3
j_2372170,3
j_2539621,3
j_3643789,3
j_1755812,3
j_2816644,3
j_1199097,3
j_664380,3
j_18645,3
j_1919437,3
j_2178605,3
j_1032539,3
j_3682292,3
j_4105733,3
j_2993794,3
j_1351657,3
j_752032,3
j_1621532,3
j_3981248,3
j_3497169,3
j_118393,3
j_403179,3
j_2315199,3
j_2183525,3
j_3966528,3
j_717192,3
j_1376322,3
j_1237098,3
j_3370211,3
j_2840734,3
j_4100466,3
j_1982841,3
j_1125677,3
j_2229058,3
j_2386476,3
j_4022929,3
j_3760286,3
j_3430966,3
j_1929977,3
j_3873025,3
j_3061971,3
j_286616,3
j_3988745,3
j_843264,3
j_3429173,3
j_2572007,3
j_1037197,3
j_3775256,3
j_446181,3
j_2960819,3
j_3444058,3
j_1089730,3
j_1327415,3
j_1008465,3
j_22656,3
j_562669,3
j_3598791,3
j_2190528,3
j_3986814,3
j_2674628,3
j_3957855,3
j_4135159,3
j_481082,3
j_2306985,3
j_3241610,3
j_1285080,3
j_1064444,3
j_2066383,3
j_3569487,3
j_3700337,3
j_1079015,3
j_948273,3
j_63235,3
j_722293,3
j_2492255,3
j_535071,3
j_3888649,3
j_714895,3
j_3694615,3
j_52003,3
j_1373425,3
j_2607529,3
j_3508468,3
j_1792585,3
j_1354629,3
j_3257269,3
j_1317916,3
j_3336413,3
j_634730,3
j_1442514,3
j_1324912,3
j_90945,3
j_844578,3
j_2582210,3
j_3975517,3
j_2253949,3
j_2034782,3
j_693535,3
j_1652061,3
j_1527734,3
j_3909215,3
j_3275544,3
j_574299,3
j_2307270,3
j_3022959,3
j_1580065,3
j_95964,3
j_2382558,3
j_3119923,3
j_1605140,3
j_2478943,3
j_2652671,3
j_1459577,3
j_2716859,3
j_3172754,3
j_1406901,3
j_2400027,3
j_472065,3
j_3784062,3
j_176008,3
j_2529731,3
j_2830551,3
j_1391036,3
j_3987438,3
j_81085,3
j_626698,3
j_423889,3
j_155977,3
j_651415,3
j_832517,3
j_597244,3
j_4175405,3
j_3429650,3
j_1333101,3
j_3203439,3
j_3716099,3
j_1580960,3
j_39441,3
j_2596190,3
j_3034158,3
j_3728512,3
j_2192746,3
j_831003,3
j_3164157,3
j_1802022,3
j_1581902,3
j_3930525,3
j_2575893,3
j_1350887,3
j_247913,3
j_657198,3
j_4005334,3
j_1494685,3
j_4119366,3
j_2558542,3
j_3061515,3
j_1765601,3
j_3395995,3
j_1205574,3
j_2776290,3
j_4107513,3
j_3152931,3
j_3123141,3
j_76362,3
j_3026539,3
j_3731755,3
j_718875,3
j_3623907,3
j_73173,3
j_604454,3
j_3832668,3
j_2098656,3
j_2067153,3
j_3172077,3
j_2257734,3
j_1955945,3
j_3981208,3
j_3921374,3
j_1688497,3
j_2008179,3
j_2902520,3
j_1347579,3
j_3042676,3
j_1938968,3
j_3083192,3
j_2151154,3
j_1881205,3
j_1217722,3
j_986952,3
j_215467,3
j_1849015,3
j_481218,3
j_4052172,3
j_1981603,3
j_1451713,3
j_2204997,3
j_12975,3
j_1146000,3
j_2404522,3
j_2702311,3
j_2443390,3
j_2365887,3
j_2200345,3
j_2307873,3
j_2267748,3
j_2222124,3
j_3233706,3
j_1811379,3
j_436896,3
j_1482021,3
j_1949507,3
j_4029917,3
j_945211,3
j_927151,3
j_2934747,3
j_3665057,3
j_396700,3
j_1137189,3
j_3808527,3
j_1841543,3
j_3054229,3
j_1146153,3
j_1781828,3
j_1916923,3
j_1849200,3
j_1668722,3
j_1446005,3
j_1109572,3
j_591382,3
j_2733405,3
j_1462592,3
j_856815,3
j_2412477,3
j_1249798,3
j_1577116,3
j_1102127,3
j_471183,3
j_212425,3
j_3192507,3
j_776648,3
j_1990588,3
j_403851,3
j_40741,3
j_60581,3
j_2496189,3
j_2016035,3
j_2888038,3
j_3725431,3
j_849817,3
j_2338066,3
j_651494,3
j_2436265,3
j_4163529,3
j_2773435,3
j_775812,3
j_3504252,3
j_685714,3
j_1541474,3
j_216305,3
j_3792762,3
j_2841459,3
j_3037504,3
j_1431804,3
j_3595920,3
j_1645885,3
j_2662588,3
j_1007136,3
j_2614447,3
j_1048338,3
j_2525359,3
j_1240889,3
j_3177974,3
j_1605555,3
j_3244513,3
j_1307829,3
j_1314459,3
j_3175541,3
j_2610962,3
j_2328525,3
j_2248295,3
j_1562465,3
j_3507331,3
j_351550,3
j_2961766,3
j_288231,3
j_2762475,3
j_1427542,3
j_1699418,3
j_1038964,3
j_3835930,3
j_751909,3
j_1188525,3
j_1287000,3
j_2990730,3
j_677592,3
j_2571331,3
j_1895411,3
j_565966,3
j_3429153,3
j_3221022,3
j_656864,3
j_2962504,3
j_3177084,3
j_2278535,3
j_2707640,3
j_2821751,3
j_1824183,3
j_2981457,3
j_2603855,3
j_2176739,3
j_2730456,3
j_395652,3
j_2451355,3
j_3518574,3
j_2071104,3
j_3224965,3
j_995751,3
j_2196121,3
j_3554001,3
j_2877682,3
j_2375621,3
j_1824303,3
j_2274278,3
j_1150543,3
j_566775,3
j_621275,3
j_1350577,3
j_2045914,3
j_3706463,3
j_671507,3
j_3197377,3
j_3780961,3
j_3592745,3
j_552995,3
j_2515366,3
j_3253914,3
j_3974607,3
j_270225,3
j_3508350,3
j_3744980,3
j_3981184,3
j_3496438,3
j_3156373,3
j_2983345,3
j_1827092,3
j_1032563,3
j_2691627,3
j_1278875,3
j_2386200,3
j_3440879,3
j_2906544,3
j_157513,3
j_163636,3
j_2878726,3
j_3483163,3
j_224796,3
j_51439,3
j_1703920,3
j_3928360,3
j_2968444,3
j_3755011,3
j_3123689,3
j_2142829,3
j_3557819,3
j_3511040,3
j_3095229,3
j_501537,3
j_3973659,3
j_1846078,3
j_2809948,3
j_1964923,3
j_2469947,3
j_2901257,3
j_2853270,3
j_802014,3
j_1823047,3
j_3270332,3
j_2109023,3
j_3465506,3
j_787675,3
j_3350987,3
j_4013273,3
j_1051383,3
j_3940365,3
j_3399995,3
j_2064789,3
j_2009145,3
j_2247850,3
j_2851342,3
j_1336295,3
j_3300578,3
j_1912541,3
j_1313299,3
j_3307166,3
j_990696,3
j_1837600,3
j_379435,3
j_345272,3
j_2367001,3
j_1313261,3
j_1730453,3
j_1794027,3
j_2442733,3
j_2144259,3
j_3056344,3
j_4071081,3
j_2054699,3
j_1125277,3
j_1697669,3
j_2124785,3
j_627821,3
j_89961,3
j_3245278,3
j_2778587,3
j_283077,3
j_1264843,3
j_4043360,3
j_752320,3
j_2798586,3
j_2288152,3
j_3082964,3
j_879677,3
j_1214192,3
j_3641588,3
j_3981611,3
j_1202233,3
j_2807056,3
j_3857690,3
j_3033970,3
j_3328541,3
j_2993654,3
j_2526207,3
j_2853029,3
j_1303819,3
j_30764,3
j_3117625,3
j_541238,3
j_2869515,3
j_727510,3
j_2666445,3
j_2666568,3
j_1744784,3
j_2756490,3
j_3074831,3
j_595026,3
j_286776,3
j_3509363,3
j_2748831,3
j_3656107,3
j_2924277,3
j_2225756,3
j_3930122,3
j_1391968,3
j_768341,3
j_3546503,3
j_655128,3
j_1098780,3
j_3766580,3
j_3909009,3
j_925527,3
j_3287698,3
j_3815844,3
j_2544937,3
j_3474703,3
j_3732085,3
j_2200737,3
j_2331171,3
j_3134067,3
j_2876288,3
j_2047785,3
j_1736454,3
j_1661724,3
j_3649284,3
j_3293853,3
j_1385729,3
j_3596420,3
j_987000,3
j_3259750,3
j_1317067,3
j_3019910,3
j_3868171,3
j_3073309,3
j_1919101,3
j_2107369,3
j_614146,3
j_990376,3
j_2099695,3
j_3513735,3
j_1791843,3
j_1974695,3
j_362370,3
j_161451,3
j_4002280,3
j_2565222,3
j_3447374,3
j_376363,3
j_1301793,3
j_843683,3
