file_id,rf
j_1000120,0
j_1000547,3
j_1000648,5
j_1001043,5
j_1001176,4
j_1001534,5
j_1002664,3
j_100274,3
j_1003113,5
j_1003574,3
j_100362,5
j_1004179,2
j_1005091,4
j_1005168,5
j_1006420,3
j_1007136,3
j_1007213,5
j_1007279,5
j_1007945,3
j_100829,0
j_1008369,5
j_1008465,3
j_1008499,0
j_1008567,4
j_1008775,5
j_1009129,3
j_1009177,4
j_1009386,3
j_101249,5
j_1013886,0
j_1014046,3
j_1015455,5
j_1015810,4
j_1016544,0
j_1016641,3
j_1017262,4
j_1017660,2
j_1017976,5
j_101846,4
j_1019009,5
j_1019446,3
j_1019878,5
j_1020035,0
j_1021393,4
j_102158,5
j_1021674,5
j_10217,5
j_1021843,3
j_1022145,3
j_1023267,5
j_1025020,5
j_1025196,5
j_1025292,4
j_1025527,3
j_1025553,5
j_1025740,5
j_1026284,3
j_1026573,4
j_1027028,5
j_1027127,3
j_1027631,3
j_102770,3
j_1028214,3
j_1028320,5
j_1028896,3
j_1029493,3
j_1029601,5
j_1029850,4
j_1030498,2
j_1030824,3
j_1031036,3
j_1031050,0
j_1031677,3
j_1032530,5
j_1032539,3
j_1032563,3
j_103271,3
j_1033574,5
j_1034304,5
j_1034609,3
j_1034741,0
j_1034762,0
j_1035223,3
j_1035635,5
j_1036141,3
j_1036484,3
j_1036857,3
j_1037197,3
j_1037573,0
j_1037786,3
j_1037793,3
j_1038071,3
j_1038200,5
j_1038964,5
j_1039033,5
j_1039569,4
j_1039576,3
j_1039717,0
j_1039939,5
j_1040175,4
j_1041534,4
j_1042321,4
j_1042562,2
j_104290,3
j_1043087,5
j_1043097,5
j_1043324,5
j_1043371,3
j_1043864,0
j_1044941,5
j_1046015,3
j_1046131,4
j_1046263,0
j_1046338,5
j_1046421,3
j_1046654,5
j_1046864,4
j_1046956,3
j_1047127,0
j_1047174,3
j_1047798,0
j_1048338,3
j_1048372,0
j_1048885,4
j_1049263,5
j_1050140,5
j_1050842,5
j_1051383,5
j_1051884,3
j_1053195,3
j_1053321,3
j_1053413,4
j_1053443,3
j_1053571,4
j_1053684,3
j_1053765,0
j_1054193,0
j_1055159,3
j_1055217,3
j_1055787,0
j_1056336,4
j_1057367,5
j_1057676,0
j_1057940,5
j_1058259,4
j_1058343,3
j_1058548,0
j_1058646,0
j_1059360,0
j_1059509,3
j_1060389,3
j_1060403,3
j_1061845,3
j_106202,3
j_1062192,3
j_1062604,0
j_1062766,0
j_1063464,3
j_1063542,5
j_1064444,3
j_106477,4
j_1065959,3
j_1065974,5
j_1066299,5
j_1066415,5
j_1066689,0
j_10668,2
j_1066824,3
j_1067358,5
j_106776,5
j_1068127,0
j_1068707,3
j_1068848,3
j_1069200,5
j_1069308,3
j_1069752,3
j_1071285,3
j_1072087,5
j_107212,5
j_107222,5
j_1072289,5
j_1072648,3
j_107360,5
j_1073687,5
j_1074833,2
j_1075478,3
j_107678,4
j_1077272,2
j_1077468,3
j_1077939,5
j_1078123,5
j_1078211,3
j_1078248,2
j_1078336,0
j_1078400,5
j_1078958,5
j_1079015,5
j_1079561,5
j_1080356,3
j_1080992,3
j_1081,3
j_1081351,4
j_108138,3
j_108149,3
j_1081666,0
j_1081945,5
j_1081995,3
j_1082727,3
j_1082882,0
j_108338,5
j_1083685,3
j_1083882,3
j_1083956,4
j_1084112,4
j_1084505,5
j_1084797,3
j_1086022,3
j_1086031,4
j_1086273,0
j_1086352,5
j_1086539,5
j_1086939,3
j_108737,5
j_1087856,5
j_1088271,3
j_108854,3
j_1089630,3
j_1089730,5
j_1089803,3
j_1090004,0
j_1090191,5
j_1090595,5
j_1090647,3
j_1091316,5
j_1091492,5
j_1091502,4
j_1091614,3
j_1092398,3
j_1092534,0
j_1092773,5
j_109282,0
j_1093149,5
j_1093424,5
j_109530,3
j_1095407,0
j_1095707,0
j_1095741,4
j_1096481,4
j_1096714,5
j_1096808,3
j_1097385,4
j_109769,5
j_1097740,3
j_1098780,3
j_1099774,5
j_1099853,3
j_1101376,3
j_1101566,5
j_1101598,4
j_1101875,3
j_1101905,5
j_1102127,5
j_1102294,2
j_1103452,5
j_1103678,3
j_11039,2
j_1104251,2
j_1104454,5
j_1104681,5
j_1104856,4
j_1105114,4
j_1105332,3
j_1106077,5
j_1106404,2
j_1106452,0
j_1107322,5
j_1107484,2
j_1107751,3
j_110782,4
j_1107909,2
j_1108194,3
j_1108445,3
j_1108815,4
j_1109572,5
j_1110290,5
j_111045,4
j_1111299,5
j_1111588,5
j_1111628,3
j_1111634,2
j_1111874,3
j_1111888,4
j_1111913,3
j_1111944,4
j_1112013,3
j_1112684,5
j_111411,3
j_1114175,3
j_1114558,3
j_111480,3
j_1115320,5
j_1115564,5
j_1116004,4
j_111634,3
j_111635,0
j_1116482,3
j_1116563,0
j_1116577,2
j_1116584,3
j_1117148,5
j_1117294,5
j_1117570,3
j_1117671,3
